الكلمة,التشكيل,له_صورة,له_صوت,اسم,فعل,حرف,التحليل,اين-وردت,جملة   ,نوع-الجملة,الوزن-الصرفي,مصروف-ممنوع,المستوى-العمري,الدولة,المصدر,اضافة-ال,نوع-الفعل-ماض-مضارع-امر,صحيح-معتل-الاول-الوسط-الاخر,ID
كاكاو,كاكاو,,,1,,,؟؟,1H6,,,,,,,,,,,
كائنات,كائِنات,,,1,,,كا-ئِـ-نا-تٌ,2H17,,,,,,,,,,,
كبار,كِبار,,,1,,,كِـ-با-رٌ,4H2,,,,,,,,,,,
كبش,كَبْـش,,,1,,,كَبْـ-شٌ,4H8,,,,,,,,,,,
كتاب,كُتّاب,,,1,,,كُتْـ-تا-بٌ,4H4,,,,,,,,,,,
كتاب,كِتاب,,,1,,,كِـ-تا-بٌ,1H4-4H8-4H6-4H3-2H5,,,,,,,,,,,
كتب,كُتُب,,,1,,,كُـ-تُـ-بٌ,2H13,,,,,,,,,,,
كتلة,كُتْـلَة,,,1,,,كُتْـ-لَـ-ـةٌ,4H2,,,,,,,,,,,
كتم,كَتَمَ,,,,1,,كَـ-تَـ-مَ,2H13,,,,,,,,,,,
كحل,كَحَّلَ,,,,1,,كَحْـ-حَـ-لَ,4H4,,,,,,,,,,,
كحل,كُحْـل,,,1,,,كُحْـ-لٌ,2H15,,,,,,,,,,,
كذب,كَذَّبَ,,,,1,,كَذْ-ذَ-بَ,4H4,,,,,,,,,,,
كرات,كُرات,,,1,,,كُـ-را-تٌ,2H14-4H8,,,,,,,,,,,
كرز,كَرَز,,,1,,,كَـ-رَ-زٌ,2H13-4H8,,,,,,,,,,,
كرم,كَرَم,,,1,,,كَـ-رَ-مٌ,2H7-4H6,,,,,,,,,,,
كروم,كُروم,,,1,,,كُـ-رو-مٌ,4H5,,,,,,,,,,,
كساء,كِساء,,,1,,,كِـ-سا-ءٌ,2H16-4H5,,,,,,,,,,,
كسرة,كِسْـرَة,,,1,,,كِسْـ-رَ-ةٌ,4H6,,,,,,,,,,,
كسوف,كُسوف,,,1,,,كُـ-سو-فٌ,2H16-4H6,,,,,,,,,,,
كسول,كَسول,,,1,,,كَـ-سو-لٌ,4H6,,,,,,,,,,,
كشاف,كَشّاف,,,1,,,كَشْـ-شا-فٌ,4H4,,,,,,,,,,,
كفة,كَفَّة,,,1,,,كَفْـ-فَـ-ـةٌ,4H4,,,,,,,,,,,
كلم,كَلَّمَ,,,,1,,كَلْـ-لَـ-مَ,4H4,,,,,,,,,,,
كلام,كَلام,,,1,,,كَـ-لا-مٌ,2H15-4H8-4H9,,,,,,,,,,,
كلمة,كَلِمَة,,,1,,,كَـ-لِـ-مَـ-ـةٌ,2H13-4H3,,,,,,,,,,,
كمال,كَمال,,,1,,,كَـ-ما-لٌ,4H5,,,,,,,,,,,
كمين,كَمين,,,1,,,كَـ-ميـ-نٌ,4H8,,,,,,,,,,,
كنزة,كَنْزَة,,,1,,,كَنْـ-زَ-ةٌ,1H6,,,,,,,,,,,
كنوز,كُنوز,,,1,,,كُـ-نو-زٌ,2H16,,,,,,,,,,,
كهرباء,كَهْرُباء,,,1,,,كَـهْـ-رُ-با-ءٌ,2H15-4H1,,,,,,,,,,,
كهف,كَهْف,,,1,,,كَـهْـ-فٌ,2H15-4H5,,,,,,,,,,,
كوب,كوب,,,1,,,كو-بٌ,1H4-kg2-4H3-2H9,,,,,,,,,,,
كوخ,كوخ,,,1,,,كو-خٌ,1H4-4H8-4H9-kg2,,,,,,,,,,,
كون,كَوْن,,,1,,,كَوْ-نٌ,4H8,,,,,,,,,,,
كؤوس,كُؤوس,,,1,,,كُـ-ؤو-سٌ,2H12,,,,,,,,,,,
كيس,كيس,,,1,,,كيـ-سٌ,2H9-4H3-kg2,,,,,,,,,,,
لاجئ,لاجِئ,,,1,,,لا-جِـ-ـئٌ,kg2-2H9,,,,,,,,,,,
لامع,لامِع,,,1,,,لا-مِـ-عٌ,kg2-2H2-4H8-S-4H9,,,,,,,,,,,
لبن,لَبَن,,,1,,,لَـ-بَـ-نٌ,kg2,,,,,,,,,,,
لبؤة,لَبُؤَة,,,1,,,لَـ-بُـ-ؤَ-ةٌ,kg2-2H7,,,,,,,,,,,
لبيب,لَبيب,,,1,,,لَـ-بيـ-بٌ,kg2-4H8,,,,,,,,,,,
لحم,لَحْـم,,,1,,,لَحْـ-مٌ,KG1-kg2-1H4-4H9-4H8-2H5,,,,,,,,,,,
لدغ,لَدْغ,,,1,,,لَـدْ-غٌ,KG1,,,,,,,,,,,
لذيذ,لَذيذ,,,1,,,لَـ-ذيـ-ذٌ,KG1-kg2-1H7-4H9,,,,,,,,,,,
لطيف,لَطيف,,,1,,,لَـ-طيـ-فٌ,kg2,,,,,,,,,,,
لهيب,لَهيب,,,1,,,لَـ-ـهيـ-بٌ,kg2,,,,,,,,,,,
لوح,لَوْح,,,1,,,لَوْ-حٌ,KG1-1H4-2H15,,,,,,,,,,,
لوحة,لَوْحَة,,,1,,,لَوْ-حَـ-ـةٌ,KG1-kg2-1H6-2H5,,,,,,,,,,,
لوز,لَوْز,,,1,,,لَوْ-زٌ,kg2-2H4-4H8,,,,,,,,,,,
لون,لَوْن,,,1,,,لَوْ-نٌ,KG1-1H7,,,,,,,,,,,
ليث,لَيْث,,,1,,,لَيْـ-ثٌ,kg2-KG1-4H5-1H7,,,,,,,,,,,
ليل,لَيْل,,,1,,,لَيْـ-لٌ,kg2-2H4,,,,,,,,,,,
ليمون,لَيْمون,,,1,,,لَيْـ-مو-نٌ,KG1-kg2-1H4-S-4H3-2H5-2H2-1H6,,,,,,,,,,,
لحوم,لُحوم,,,1,,,لُـ-حو-مٌ,kg2,,,,,,,,,,,
لعبة,لُعْبَة,,,1,,,لُعْـ-بَـ-ـةٌ,KG1-1H6-4H5-4H3,,,,,,,,,,,
لعاب,لُعاب,,,1,,,لُـ-ـعا-بٌ,kg2-2H7,,,,,,,,,,,
لغة,لُغَة,,,1,,,لُـ-ـغَـ-ـةٌ,kg2-2H13,,,,,,,,,,,
لجام,لِجام,,,1,,,لِـ-جا-مٌ,kg2-2H7,,,,,,,,,,,
لحاف,لِحاف,,,1,,,لِـ-حا-فٌ,KG1-1H6-4H3,,,,,,,,,,,
لسان,لِسان,,,1,,,لِـ-سا-نٌ,kg2-2H7,,,,,,,,,,,
لينا,لِينا,,,1,,,ليـ-نا,kg2-2H9,,,,,,,,,,,
لاعب,لاعِب,,,1,,,لا-عِـ-بٌ,2H17,,,,,,,,,,,
لامة,لامَة,,,1,,,لا-مَـ-ـةٌ,KG1-kg2,,,,,,,,,,,
لب,لُبّ,,,1,,,لُبْـ-بٌ,2H16,,,,,,,,,,,
لباد,لُبّاد,,,1,,,لُبْـ-با-دٌ,4H8,,,,,,,,,,,
لباس,لِباس,,,1,,,لِـ-با-سٌ,2H17-4H4,,,,,,,,,,,
لبن,لَبَن,,,1,,,لَـ-بَـ-نٌ,2H13-4H6,,,,,,,,,,,
لثة,لِثَّة,,,1,,,لِثْـ-ثَـ-ـةٌ,2H15,,,,,,,,,,,
لجين,لُجَيْن,,,1,,,لُـ-جَيْـ-نٌ,4H1,,,,,,,,,,,
لحظ,لَحْـظ,,,1,,,لَحْـ-ظٌ,4H8,,,,,,,,,,,
لحوم,لُحُوم,,,1,,,لُـ-حو-مٌ,2H7-4H6,,,,,,,,,,,
لدغ,لَدَغَ,,,1,,,لَـ-دَ-غَ,1H6-4H8,,,,,,,,,,,
لزج,لَزِج,,,1,,,لَـ-زِ-جٌ,4H2,,,,,,,,,,,
لص,لِصّ,,,1,,,لِصْـ-صٌ,2H15,,,,,,,,,,,
لطيف,لَطيف,,,1,,,لَـ-طيـ-فٌ,2H9,,,,,,,,,,,
لعب,لَعِب,,,,1,,لَـ-ـعِـ-بَ,2H17,,,,,,,,,,,
لفظ,لَفْظ,,,1,,,لَفْـ-ظٌ,4H9-4H8,,,,,,,,,,,
لقاء,لِقاء,,,1,,,لِـ-قا-ءٌ,4H9,,,,,,,,,,,
لقمة,لُقْمَة,,,1,,,لُقْـ-مَـ-ـةٌ,2H16,,,,,,,,,,,
لماح,لَمّاح,,,1,,,لَمْـ-ما-حٌ,4H4,,,,,,,,,,,
لهيب,لَهيب,,,1,,,لَـ-ـهيـ-بٌ,2H9,,,,,,,,,,,
ليف,ليف,,,1,,,ليـ-فٌ,4H3,,,,,,,,,,,
ماجد,ماجِد,,,1,,,ما-جِـ-دٌ,kg2,,,,,,,,,,,
مال,مال,,,1,,,ما-لٌ,kg2,,,,,,,,,,,
مالح,مالِح,,,1,,,ما-لِـ-حٌ,kg2,,,,,,,,,,,
مأوى,مَأْوى,,,1,,,مَأْ-وى,kg2,,,,,,,,,,,
متجر,مَتْـجَر,,,1,,,مَتْـ-جَـ-رٌ,KG1-kg2-1H6,,,,,,,,,,,
مثل,مَثَل,,,1,,,مَـ-ثَـ-لٌ,kg2-2H15,,,,,,,,,,,
مجاني,مَجّاني,,,1,,,مَجْـ-جا-نِيـ-يٌ,kg2-2H4,,,,,,,,,,,
مجلة,مِجلَّة,,,1,,,مِـ-جَلْـ-لَـةٌ,kg2-2H4,,,,,,,,,,,
مجلس,مَجْلِس,,,1,,,مَجْـ-لِـ-سٌ,kg2-2H2,,,,,,,,,,,
محظوظ,مَحْـظوظ,,,1,,,محْـ-ظو-ظٌ,kg2-2H9,,,,,,,,,,,
محفوظ,مَحْـفوظ,,,1,,,مَحْـ-فو-ظٌ,KG1-1H6,,,,,,,,,,,
مخزون,مَخْـزون,,,1,,,مَخْـ-زو-نٌ,kg2,,,,,,,,,,,
مدافئ,مَدافِئ,,,1,,,مَـ-دا-فِـ-ـئٌ,kg2-2H2,,,,,,,,,,,
مدينة,مَدينَة,,,1,,,مَـ-ديـ-نَـ-ـةٌ,KG1-kg2-2H9,,,,,,,,,,,
مذاق,مَذاق,,,1,,,مَـ-ذا-قٌ,kg2,,,,,,,,,,,
مرح,مَرَح,,,1,,,مَـ-رَ-حٌ,KG1-1H6,,,,,,,,,,,
مرض,مَرَض,,,1,,,مَـ-رَ-ضٌ,KG1-kg2-1H6-4H8-2H2,,,,,,,,,,,
مرغوب,مَرْغوب,,,1,,,مَرْ-غو-بٌ,kg2,,,,,,,,,,,
مركب,مَرْكِب,,,1,,,مَرْ-كِـ-بٌ,kg2,,,,,,,,,,,
مروحة,مَرْوَحَة,,,1,,,مَرْ-وَ-حَـ-ـةٌ,kg2-2H7-S,,,,,,,,,,,
مريم,مَرْيَم,,,1,,,مَرْ-يَـ-م,KG1-kg2-1H6-S,,,,,,,,,,,
مريول,مَرْيول,,,1,,,مَرْ-يو-لٌ,kg2,,,,,,,,,,,
مرام,مَرام,,,1,,,مَـ-را-مٌ,kg2-2H11,,,,,,,,,,,
مزهرية,مَزْهَرِيّة,,,1,,,مَزْ-هَـ-ريـ-يَـ-ـةٌ,kg2-2H2,,,,,,,,,,,
مزرعة,مَزْرَعَة,,,1,,,مَزْ-رَ-عَـ-ـةٌ,kg2-2H4,,,,,,,,,,,
مسبح,مَسْـبَح,,,1,,,مَسْـ-بَـ-حٌ,kg2-2H2,,,,,,,,,,,
مسرح,مَسْـرَح,,,1,,,مَسْـ-رَ-حٌ,kg2-2H2-4H8-2H15,,,,,,,,,,,
مسؤول,مَسْـؤول,,,1,,,مَسْـ-ؤو-لٌ,kg2,,,,,,,,,,,
مشروع,مَشْروع,,,1,,,مَشْـ-رو-عٌ,kg2,,,,,,,,,,,
مشهور,مَشْهور,,,1,,,مَشْـ-ـهو-رٌ,kg2-2H7,,,,,,,,,,,
مشوي,مَشْوِيّ,,,1,,,مَشْـ-ويـ-ـيٌ,kg2-2H9-S,,,,,,,,,,,
مصرف,مَصْرِف,,,1,,,مَصْـ-رِ-فٌ,KG1-1H6,,,,,,,,,,,
مصايف,مَصايِف,,,1,,,مَـ-صا-يِـ-فٌ,kg2-2H7-S,,,,,,,,,,,
مطر,مَطَر,,,1,,,مَـ-طَـ-رٌ,KG1-kg2-1H4-4H3,,,,,,,,,,,
مطاط,مَطّاط,,,1,,,مَطْ-طا-طٌ,KG1,,,,,,,,,,,
مطار,مَطار,,,1,,,مَـ-طا-رٌ,kg2,,,,,,,,,,,
مظلوم,مَظْلوم,,,1,,,مَظْ-لو-مٌ,kg2-2H7,,,,,,,,,,,
معجون,مَعْجون,,,1,,,مَعْـ-جو-نٌ,KG1-1H6,,,,,,,,,,,
معدن,مَعْدَن,,,1,,,مَعْـ-دَ-نٌ,kg2-2H2,,,,,,,,,,,
مفتوح,مَفْتوح,,,1,,,مَفْـ-تو-حٌ,kg2-2H7,,,,,,,,,,,
مفاتيح,مَفاتيح,,,1,,,مَـ-فا-تيـ-حٌ,kg2-2H9,,,,,,,,,,,
مقعد,مَقْعَد,,,1,,,مَقْـ-ـعَـ-دٌ,kg2,,,,,,,,,,,
مكتب,مَكْتَب,,,1,,,مَكْـ-تَـ-بٌ,KG1-1H7,,,,,,,,,,,
مكتوب,مَكْتوب,,,1,,,مكْـ-تو-بٌ,kg2,,,,,,,,,,,
مكسور,مَكْسور,,,1,,,مَكْـ-سو-رٌ,kg2,,,,,,,,,,,
مكشوف,مَكْشوف,,,1,,,مَكْـ-شو-فٌ,kg2,,,,,,,,,,,
مكوي,مَكْوِيّ,,,1,,,مَكْـ-ويـ-يٌ,kg2,,,,,,,,,,,
مكاييل,مَكاييل,,,1,,,مَـ-كا-ييـ-ل,kg2,,,,,,,,,,,
ملك,مَلِك,,,1,,,مَـ-لِـ-كٌ,kg2-2H2-4H8,,,,,,,,,,,
ملفوف,مَلْفوف,,,1,,,مَلْـ-فو-فٌ,kg2-2H4-2H14,,,,,,,,,,,
ملابس,مَلابِس,,,1,,,مَـ-لا-بِـ-سٌ,kg2-2H2,,,,,,,,,,,
ملاك,مَلاك,,,1,,,مَـ-لا-كٌ,KG1-1H6,,,,,,,,,,,
ملايين,مَلايين,,,1,,,مَـ-لا-ييـ-نٌ,kg2-S,,,,,,,,,,,
منثور,مَنْثور,,,1,,,مَنْـ-ثو-رٌ,kg2,,,,,,,,,,,
منديل,مَنْديل,,,1,,,مَنْـ-ديـ-لٌ,kg2-2H7,,,,,,,,,,,
منال,مَنال,,,1,,,مَـ-نا-لٌ,kg2,,,,,,,,,,,
موج,مَوْج,,,1,,,مَـ-وْ-جٌ,KG1,,,,,,,,,,,
موز,مَوْز,,,1,,,مَوْ-زٌ,KG1-kg2,,,,,,,,,,,
موقد,مَوْقِد,,,1,,,مَوْ-قِـ-دٌ,KG1-kg2-1H6,,,,,,,,,,,
موزون,مَوْزون,,,1,,,مَوْ-زو-نٌ,kg2,,,,,,,,,,,
ميؤوس,مَيْؤوس,,,1,,,مَيْـ-ؤو-سٌ,kg2,,,,,,,,,,,
ميس,مَيْس,,,1,,,مَيـ-سٌ,kg2-2H2,,,,,,,,,,,
مبارك,مُبارَك,,,1,,,مُـ-با-رَ-كٌ,KG1-1H6,,,,,,,,,,,
متنزه,مُتَنَزّه,,,1,,,مُـ-تَـ-نَزْ-زَ-هٌ,KG1-1H7,,,,,,,,,,,
مثلث,مُثَلَّث,,,1,,,مُـ-ثَلْـ-لَـ-ثٌ,kg2-2H2-4H8,,,,,,,,,,,
مثمر,مُثْـمِر,,,1,,,مُثْـ-مِـ-رٌ,KG1-1H7,,,,,,,,,,,
مثابر,مُثابِر,,,1,,,مُـ-ثا-بِـ-رٌ,kg2-2H2-S,,,,,,,,,,,
مثلجات,مُثَلَّجات,,,1,,,مُـ-ثَلْـ-لَـ-جا-تٌ,KG1-kg2-1H4,,,,,,,,,,,
مختبر,مُخْـتَبَر,,,1,,,مُخْـ-تَـ-بَـ-رٌ,kg2-2H2-S,,,,,,,,,,,
مدرج,مُدَرَّج,,,1,,,مُـ-دَرْ-رَ-جٌ,kg2,,,,,,,,,,,
مذهل,مُذْهِل,,,1,,,مُذْ-هِ-لٌ,kg2-2H7,,,,,,,,,,,
مذيع,مُذيع,,,1,,,مُـ-ذيـ-ـعٌ,kg2,,,,,,,,,,,
مراد,مُراد,,,1,,,مُـ-را-دٌ,kg2-2H2-S,,,,,,,,,,,
مربع,مُرَبَّع,,,1,,,مُـ-رَبْـ-بَـ-ـعٌ,KG1-1H7-2H5,,,,,,,,,,,
مروج,مُروج,,,1,,,مُـ-رو-جٌ,KG1-1H6,,,,,,,,,,,
مريح,مُريح,,,1,,,مُـ-ريـ-حٌ,kg2-2H2,,,,,,,,,,,
مستطيل,مُسْـتَطيل,,,1,,,مُسْـ-تَـ-طيـ-لٌ,kg2-kg2-2H2,,,,,,,,,,,
مستقيم,مُسْـتَقيم,,,1,,,مُسْـ-تَـ-قيـ-مٌ,kg2-2H7,,,,,,,,,,,
مسافر,مُسافِر,,,1,,,مُـ-سا-فِـ-رٌ,kg2,,,,,,,,,,,
مشاة,مُشاة,,,1,,,مُـ-شا-ةٌ,kg2,,,,,,,,,,,
معاذ,مُعاذ,,,1,,,مُ-ـعا-ذٌ,kg2-2H4,,,,,,,,,,,
مغتاط,مُغْتاط,,,1,,,مُغْـ-تا-ظٌ,KG1,,,,,,,,,,,
مفيد,مُفيد,,,1,,,مُـ-ـفيـ-دٌ,kg2,,,,,,,,,,,
مكبر,مُكَبِّر,,,1,,,مُـ-كَبْـ-بِـ-رٌ,kg2-2H2-S-4H4,,,,,,,,,,,
ممرض,مُمَرِّض,,,1,,,مُـ-مَرْ-رِ-ضٌ,KG1-kg2-1H4-S-4H8,,,,,,,,,,,
منبه,مُنَبِّه,,,1,,,مُـ-نَبْـ-بِـ-هٌ,kg202H2-S,,,,,,,,,,,
منتصر,مُنْتَصِر,,,1,,,مُنْـ-تَـ-صِـ-ـرٌ,kg2-2H7-2H17,,,,,,,,,,,
منذر,مُنْذِر,,,1,,,مُنْـ-ذِ-رٌ,kg2,,,,,,,,,,,
منقذ,مُنْقِذ,,,1,,,مُنْـ-قِ-ذٌ,kg2,,,,,,,,,,,
مناخ,مُناخ,,,1,,,مُـ-نا-خٌ,kg2-2H2-S,,,,,,,,,,,
منير,مُنير,,,1,,,مُـ-نيـ-رٌ,kg2,,,,,,,,,,,
مهرج,مُهَرِّج,,,1,,,مُـ-ـهَرْ-رِ-جٌ,KG1-kg2-2H2-1H6,,,,,,,,,,,
مهم,مُهِمّ,,,1,,,مُـ-ـهِمْـ-مٌ,kg2,,,,,,,,,,,
مهر ,مُهْر ,,,1,,,مُـهْـ-رٌ,kg2-2H2-S-4H3,,,,,,,,,,,
مبراة,مِبْـراة,,,1,,,مِبْـ-را-ةٌ,kg2-2H7-S,,,,,,,,,,,
محبرة,مِحْـبَرة,,,1,,,مِحْـ-بَـ-رَ-ةٌ,kg2-2H7-S,,,,,,,,,,,
محراث,مِحْـراث,,,1,,,مِحْـ-را-ثٌ,KG1-kg2-1H7-S,,,,,,,,,,,
محفظة,مِحْـفَظَة,,,1,,,مِحْـ-فَـ-ظَـ-ـةٌ,KG1-kg2-2H13-S,,,,,,,,,,,
مدفأة,مِدْفَأَة,,,1,,,مِدْ-فَـ-أَ-ةٌ,kg2-2H7-S,,,,,,,,,,,
مذياع,مِذْياع,,,1,,,مِذْ-يا-عٌ,KG1-kg2-1H4-2H5-S,,,,,,,,,,,
مسك,مِسْـك,,,1,,,مِسْـ-كٌ,kg2,,,,,,,,,,,
مشط,مِشْط,,,1,,,مِشْـ-طٌ,kg2-2H2-S-4H9-4H8,,,,,,,,,,,
مشمش,مِشْمِش,,,1,,,مِشْـ-مِـ-شٌ,kg2-S,,,,,,,,,,,
مصباح,مِصْباح,,,1,,,مِصْـ-با-حٌ,KG1,,,,,,,,,,,
مصيدة,مِصْيَدَة,,,1,,,مِصْـ-يَـ-دَ-ةٌ,kg2-2H14-S-2H2,,,,,,,,,,,
مضرب,مِضْرَب,,,1,,,مِضْـ-رَ-بٌ,KG1-kg2,,,,,,,,,,,
مظلة,مِظَلَّة,,,1,,,مِـ-ظَلْـ-لَـ-ـةٌ,KG1-kg2-1H6-S-4H4-2H5,,,,,,,,,,,
معصرة,مِعْصَرَة,,,1,,,مِعْـ-صَـ-رَ-ةٌ,kg2-S,,,,,,,,,,,
معطف,مِعْطَف,,,1,,,مِعْـ-طَـ-فٌ,kg2-2H2-S,,,,,,,,,,,
مفتاح,مِفْتاح,,,1,,,مِفْـ-تا-حٌ,KG1-kg2-1H7-S-4H8-2H5-2H4-2H2,,,,,,,,,,,
مقص,مِقَصّ,,,1,,,مِـ-قَصْـ-صٌ,KG1-kg2-2H2-2H4-S-4H9-4H8-2H5,,,,,,,,,,,
مقلاة,مِقْلاة,,,1,,,مِقْـ-لا-ةٌ,KG1-1H6,,,,,,,,,,,
مكنسة,مِكْنَسَة,,,1,,,مِكْـ-نَـ-سَـ-ةٌ,kg2,,,,,,,,,,,
مكبس,مِكبَس,,,1,,,مِكْـ-بَـ-سٌ,kg2-S-2H2,,,,,,,,,,,
ملقط,مِلْقَط,,,1,,,مِلْـ-قَـ-طٌ,kg2,,,,,,,,,,,
ملح,مِلْح,,,1,,,مِلْـ-حٌ,kg2-2H2-S-4H8,,,,,,,,,,,
منشفة,مِنْشَفة,,,1,,,مِنْـ-شَـ-ـفَـ-ـةٌ,kg2,,,,,,,,,,,
منشار,مِنْشار,,,1,,,مِنْـ-شا-رٌ,kg2-kg2-2H2-S,,,,,,,,,,,
منضدة,مِنْضَدَة,,,1,,,مِنْـ-ضَـ-دَ-ةٌ,kg2-2H2-S,,,,,,,,,,,
منطاد,مُنْطاد,,,1,,,مُنْـ-طا-دٌ,KG1-kg2-S,,,,,,,,,,,
منظار,مِنْظار,,,1,,,مِنْـ-ظا-رٌ,kg2-2H9-S,,,,,,,,,,,
ميزان,ميزان,,,1,,,ميـ-زا-نٌ,kg2-2H9-S,,,,,,,,,,,
ماء,ماء,,,1,,,ما-ءٌ,4H1-4H3,,,,,,,,,,,
ماجد,ماجِد,,,1,,,ما-جِـ-دٌ,2H9-S,,,,,,,,,,,
مازن,مازِن,,,1,,,ما-زِ-نٌ,2H17,,,,,,,,,,,
ماعز,ماعِز,,,1,,,ما-عِـ-زٌ,KG1-kg2-1H7-2H5,,,,,,,,,,,
مال,مال,,,1,,,ما-لٌ,2H4-4H9,,,,,,,,,,,
مالح,مالِح,,,1,,,ما-لِـ-حٌ,2H11-S,,,,,,,,,,,
مالك,مالِك,,,1,,,ما-لِـ-كٌ,2H2,,,,,,,,,,,
مبرد,مِبْـرَد,,,1,,,مِبْـ-رَ-دٌ,4H4,,,,,,,,,,,
مبكر,مُبَكِّر,,,1,,,مُـ-بَكْـ-كِـ-رٌ,4H4,,,,,,,,,,,
مبهر,مُبَهَّر,,,1,,,مُـ-بَـهْـ-ـهَـ-رٌ,4H4,,,,,,,,,,,
متحف,مُتْـحَف,,,1,,,مُتْـ-حَـ-فٌ,2H14,,,,,,,,,,,
متساو,مُتَساو,,,1,,,مُـ-تَـ-سا-وٍ,4H8,,,,,,,,,,,
مثقوب,مَثْـقوب,,,1,,,مَثْـ-قو-بٌ,4H2,,,,,,,,,,,
مجد,مَجَّدَ,,,,1,,مَجْـ-جَـ-دَ,4H4,,,,,,,,,,,
مجتهد,مُجْـتَهِد,,,1,,,مُجْـ-تَـ-ـهِـ-دٌ,2H16,,,,,,,,,,,
مجد,مَجْـد,,,1,,,مَجْـ-دٌ,2H17,,,,,,,,,,,
مجرب,مُجَرَّب,,,1,,,مُـ-جَرْ-رَ-بٌ,4H4,؟,,,,,,,,,,
مجرفة,مِجْـرَفَةُ,,,1,,,مِجْـ-رَ-فَـ-ـةٌ,4H5,,,,,,,,,,,
مجعد,مُجَعَّد,,,1,,,مُـ-جَعْـ-ـعَـ-دٌ,4H4,,,,,,,,,,,
مجمع,مُجَمَّع,,,1,,,مُـ-جَمْـ-مَـ-ـعٌ,4H4,,,,,,,,,,,
مجموع,مَجْـموع,,,1,,,مَجْـ-مو-عٌ,4H2,,,,,,,,,,,
مجيب,مُجيب,,,1,,,مُـ-جيـ-بٌ,2H12,,,,,,,,,,,
محافظ,مُحافِظ,,,1,,,مُـ-حا-فِـ-ظٌ,4H8,,,,,,,,,,,
محرك,مُحَرِّك,,,1,,,مُـ-حَرْ-رِ-كٌ,4H8,,,,,,,,,,,
محظور,مَحْـظور,,,1,,,مَحْـ-ظو-رٌ,4H6,,,,,,,,,,,
محق,مُحِقّ,,,1,,,مُـ-حِقْـ-قٌ,4H4,,,,,,,,,,,
محيط,مُحيط,,,1,,,مُـ-حيـ-طٌ,4H8,,,,,,,,,,,
مخبأ,مَخْبَأ,,,1,,,مَخْـ-بَـ-أٌ,4H4,,,,,,,,,,,
مخبز,مَخْـبَز,,,1,,,مَخْـ-بَـ-زٌ,4H2,,,,,,,,,,,
مخزن,مُخَزَّن,,,1,,,مُـ-خَزْ-زَ-نٌ,4H4,,,,,,,,,,,
مخزون,مَخْـزون,,,1,,,مَخْـ-زو-نٌ,2H11,,,,,,,,,,,
مخير,مُخَيَّر,,,1,,,مُـ-خَيْـ-يَـ-رٌ,4H4,,,,,,,,,,,
مدبر,مُدَبَّر,,,1,,,مُـ-دَبْـ-بَـ-رٌ,4H4,,,,,,,,,,,
مدرب,مُدَرِّب,,,1,,,مُـ-دَرْ-رِ-بٌ,1H6,,,,,,,,,,,
مدرج,مُدَرَّج,,,1,,,مُـ-دَرْ-رَ-جٌ,2H7-4H8-S,,,,,,,,,,,
مدرس,مُدَرِّس,,,1,,,مُـ-دَرْ-رِ-سٌ,4H4,,,,,,,,,,,
مدرسة,مَدْرَسَة,,,1,,,مَدْ-رَ-سَـ-ةٌ,2H2,,,,,,,,,,,
مذاق,مَذاق,,,1,,,مَـ-ذا-قٌ,2H9,,,,,,,,,,,
مذيع,مُذيع,,,1,,,مُـ-ذيـ-ـعٌ,2H11,,,,,,,,,,,
مرتب,مُرَتَّب,,,1,,,مُـ-رَتْـ-تَـ-بٌ,4H4,,,,,,,,,,,
مرتل,مُرَتَّل,,,1,,,مُـ-رَتْـ-تَـ-لٌ,4H4,,,,,,,,,,,
مرحب,مُرَحَّب,,,1,,,مُـ-رَحْـ-حَـ-بٌ,4H4,,,,,,,,,,,
مرطب,مُرَطِّب,,,1,,,مُـ-رَطْـ-طِ-بٌ,4H4,,,,,,,,,,,
مرقط,مُرَقَّط,,,1,,,مُـ-رَقْـ-ـقَـ-طٌ,4H4,,,,,,,,,,,
مركب,مُرَكَّب,,,1,,,مُـ-رَكْـ-كَـ-بٌ,4H4,,,,,,,,,,,
مركب,مَرْكِب,,,1,,,مَرْ-كِـ-بٌ,2H2-4H6-4H2,,,,,,,,,,,
مريض,مَريض,,,1,,,مَـ-ريـ-ضٌ,4H8,,,,,,,,,,,
مزاج,مِزاج,,,1,,,مِـ-زا-جٌ,4H5,,,,,,,,,,,
مزارع,مُزارِع,,,1,,,مُـ-زا-رِ-عٌ,4H8,,,,,,,,,,,
مزيل,مُزيل,,,1,,,مُـ-زيـ-لٌ,4H6,,,,,,,,,,,
مسابقة,مُسابَقَة,,,1,,,مُـ-سا-بَـ-قَـ-ـةٌ,2H14,,,,,,,,,,,
مسافر,مُسافِر,,,1,,,مُـ-سا-فِـ-رٌ,2H11-S,,,,,,,,,,,
مساير,مُسايِر,,,1,,,مَـ-سا-يِـ-رٌ,4H2,,,,,,,,,,,
مستدير,مُسْـتَدير,,,1,,,مُسْـ-تَـ-ديـ-رٌ,2H15,,,,,,,,,,,
مستشفى,مُسْـتَشْفى,,,1,,,مُسْـ-تَشْـ-فى,2H16,,,,,,,,,,,
مستقبل,مُسْـتَقْبَل,,,1,,,مُسْـ-تَقْـ-بَـ-لٌ,4H6,,,,,,,,,,,
مسحب,مُسَحَّب,,,1,,,مُـ-سَحْـ-حَـ-بٌ,4H4,,,,,,,,,,,
